x,y,z,w
65.61880723,62.2707158,0.695,3.5
65.93174665,62.60633747,0.7,3.5
66.21036066,62.88114844,0.705,3.5
66.52010788,63.21384579,0.71,3.5
66.80191408,63.49158107,0.715,3.5
67.1084691,63.82135411,0.72,3.5
67.39346751,64.10201371,0.725,3.5
67.69683033,64.42886242,0.73,3.5
67.98502094,64.71244636,0.735,3.5
68.29051188,65.04124461,0.74,3.5
68.57657435,65.32287899,0.745,3.5
68.88951377,65.65850066,0.75,3.5
69.17557624,65.94013504,0.755,3.5
69.48851566,66.27575672,0.76,3.5
69.76712966,66.55056768,0.765,3.5
70.07687689,66.88326503,0.77,3.5
70.35868309,67.16100033,0.775,3.5
70.66523812,67.49077335,0.78,3.5
70.95023652,67.77143296,0.785,3.5
71.25359935,68.09828167,0.79,3.5
71.53806571,68.37845389,0.795,3.5
71.8472809,68.71066385,0.8,3.5
72.13334337,68.99229823,0.805,3.5
72.44628279,69.32791991,0.81,3.5
72.73234525,69.60955429,0.815,3.5
73.04528466,69.94517596,0.82,3.5
73.32389867,70.21998693,0.825,3.5
73.6336459,70.55268428,0.83,3.5
73.9154521,70.83041956,0.835,3.5
74.22200713,71.1601926,0.84,3.5
74.50700552,71.4408522,0.845,3.5
74.81036836,71.76770091,0.85,3.5
75.09483472,72.04787313,0.855,3.5
75.40404991,72.3800831,0.86,3.5
75.69011238,72.66171749,0.865,3.5
76.0030518,72.99733915,0.87,3.5
76.28166579,73.27215012,0.875,3.5
76.59141303,73.60484747,0.88,3.5
76.87321923,73.88258276,0.885,3.5
77.17977425,74.21235579,0.89,3.5
77.46477266,74.49301539,0.895,3.5
77.76813548,74.8198641,0.9,3.5
78.05632607,75.10344803,0.905,3.5
78.36181703,75.4322463,0.91,3.5
78.6478795,75.71388068,0.915,3.5
78.96081892,76.04950234,0.92,3.5
79.24688138,76.33113672,0.925,3.5
79.5598208,76.66675839,0.93,3.5
79.83843481,76.94156936,0.935,3.5
80.14818202,77.27426671,0.94,3.5
80.42998824,77.55200201,0.945,3.5
80.73654327,77.88177503,0.95,3.5
81.02154165,78.16243464,0.955,3.5
81.32490449,78.48928335,0.96,3.5
81.61309508,78.77286728,0.965,3.5
81.91858605,79.10166554,0.97,3.5
82.20464851,79.38329992,0.975,3.5
82.51758793,79.71892158,0.98,3.5
82.80365039,80.00055598,0.985,3.5
83.11658981,80.33617764,0.99,3.5
83.39520382,80.61098861,0.995,3.5
83.70495104,80.94368596,1,3.5
83.98675724,81.22142125,1.005,3.5
84.29331226,81.55119428,1.01,3.5
84.57831067,81.83185388,1.015,3.5
84.88167349,82.15870259,1.02,3.5
85.16613987,82.43887481,1.025,3.5
85.47535506,82.77108477,1.03,3.5
85.76141751,83.05271917,1.035,3.5
86.07435693,83.38834083,1.04,3.5
86.3604194,83.66997521,1.045,3.5
86.67335882,84.00559688,1.05,3.5
86.95197283,84.28040785,1.055,3.5
87.26172005,84.6131052,1.06,3.5
87.54352625,84.8908405,1.065,3.5
87.85008128,85.22061352,1.07,3.5
88.13507968,85.50127314,1.075,3.5
88.4384425,85.82812184,1.08,3.5
88.72290888,86.10829407,1.085,3.5
89.03212406,86.44050403,1.09,3.5
89.31818653,86.72213841,1.095,3.5
89.63112594,87.05776007,1.1,3.5
89.90973996,87.33257104,1.105,3.5
90.21948717,87.66526839,1.11,3.5
90.50129337,87.94300369,1.115,3.5
90.8078484,88.27277671,1.12,3.5
91.0928468,88.55343633,1.125,3.5
91.39620963,88.88028504,1.13,3.5
91.68440023,89.16386896,1.135,3.5
91.98989119,89.49266722,1.14,3.5
92.27595365,89.7743016,1.145,3.5
92.58889307,90.10992326,1.15,3.5
92.87495554,90.39155766,1.155,3.5
93.18789496,90.72717932,1.16,3.5
93.46650897,91.0019903,1.165,3.5
93.79952797,91.34132367,1.17,3.5
